item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4
Tiền gửi không kỳ hạn,Current Deposits,nob66,213462253000000.0,216686504000000.0,216711978000000.0,226803857000000.0
Tiền gửi ký quỹ,Margin deposits,nob69,1054743000000.0,1290380000000.0,1208801000000.0,1351961000000.0
Tiền gửi cho những mục đích riêng biệt,Deposits for special purposes,nob70,14158815000000.0,10620269000000.0,11942529000000.0,14948566000000.0
Tiền gửi của khách hàng,Deposits from customers,bsb113,730986638000000.0,764496671000000.0,773406098000000.0,802222944000000.0
