Ngày Tháng Năm,VIC,VHM,VRE,VN30F1M
5/23/2018,37.83,64.25,34.49,972.5
5/24/2018,38.24,66.69,34.57,957.0
5/25/2018,39.3,68.44,32.43,930.0
5/28/2018,40.77,68.15,31.95,883.5
5/29/2018,40.4,67.57,34.09,924.0
5/30/2018,40.77,68.15,33.3,908.0
5/31/2018,42.61,67.04,34.09,940.5
6/1/2018,43.71,67.86,36.04,957.5
6/4/2018,44.08,68.67,36.15,980.5
6/5/2018,44.48,68.73,35.92,990.0
6/6/2018,45.58,69.9,35.92,1019.0
6/7/2018,45.62,69.9,35.68,1016.0
6/8/2018,45.62,69.9,35.28,1017.9
6/11/2018,45.65,69.9,35.76,1017.1
6/12/2018,45.69,68.73,35.28,1005.8
6/13/2018,47.01,68.73,35.68,1018.5
6/14/2018,46.28,68.15,35.28,1002.0
6/15/2018,45.36,67.86,35.68,1008.0
6/18/2018,45.32,67.86,33.3,970.0
6/19/2018,45.18,66.98,31.64,937.9
6/20/2018,45.91,66.98,32.19,961.0
6/21/2018,45.54,66.98,30.53,954.0
6/22/2018,45.1,66.52,31.71,967.2
6/25/2018,45.43,67.28,32.35,973.2
6/26/2018,45.4,66.98,32.27,968.0
6/27/2018,45.99,64.07,31.48,945.0
6/28/2018,47.78,64.07,30.21,941.0
6/29/2018,47.78,65.47,30.76,943.2
7/2/2018,47.65,64.83,30.68,921.0
7/3/2018,44.31,60.34,30.37,890.1
7/4/2018,46.67,64.54,30.6,893.0
7/5/2018,47.33,66.4,29.85,866.0
7/6/2018,47.2,65.53,28.94,895.0
7/9/2018,46.67,65.7,29.26,884.0
7/10/2018,45.78,64.65,28.78,889.0
7/11/2018,46.45,63.9,28.31,871.0
7/12/2018,45.78,64.07,28.94,876.0
7/13/2018,45.78,63.66,28.94,902.0
7/16/2018,45.56,61.74,29.97,908.0
7/17/2018,46.22,61.74,32.03,918.0
7/18/2018,46.67,62.56,34.09,934.1
7/19/2018,46.67,62.03,34.09,941.0
7/20/2018,46.05,62.27,33.3,945.0
7/23/2018,46.22,62.79,33.18,925.0
7/24/2018,46.45,62.03,33.02,924.0
7/25/2018,46.4,62.03,32.51,911.0
7/26/2018,47.11,61.74,31.79,919.8
7/27/2018,47.29,61.68,31.08,925.0
7/30/2018,47.29,64.36,31.56,937.5
7/31/2018,47.29,64.25,32.19,938.5
8/1/2018,47.33,63.26,32.27,934.0
8/2/2018,47.42,63.37,31.75,938.2
8/3/2018,49.56,63.49,32.9,935.0
8/6/2018,49.56,63.49,33.3,934.6
8/7/2018,49.02,62.62,33.3,934.5
8/8/2018,48.36,62.91,33.42,943.5
8/9/2018,46.31,63.31,32.51,940.2
8/10/2018,46.31,62.27,31.87,946.5
8/13/2018,45.69,62.62,31.87,953.0
8/14/2018,45.91,62.79,32.03,959.3
8/15/2018,45.29,62.79,31.56,946.6
8/16/2018,45.38,62.79,31.71,947.0
8/17/2018,45.47,63.37,31.6,947.0
