as_of_date,scenario_name,scenario_rank,shock_type,shock_magnitude,dd_total,dd_exogenous,dd_endogenous,panic_ratio,margin_calls,margin_call_events,min_price_mean,end_price_mean,dd_total_p10,dd_total_p90,panic_ratio_p10,panic_ratio_p90,simulation_runs,simulation_agents,steps_post_shock,stress_confidence
2025-02-28,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,9.515019566518438e-05,9.452151342421427e-05,6.286822409701003e-07,0.0833333333333333,0,0,1305.2357947405867,1352.859967333671,0.0,0.0001271353855956,0.0,0.0,12,1000,20,0.3028339618804996
2025-02-28,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,1.37185889112108e-05,1.37185889112108e-05,0.0,0.0,0,0,1305.342092302779,1353.1690513006945,0.0,0.0,0.0,0.0,12,1000,20,0.3028339618804996
2025-02-28,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0,0.0,0.0,0.0,0,0,1305.36,1384.948342603202,0.0,0.0,0.0,0.0,12,1000,20,0.3028339618804996
2025-02-28,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0,0.0,0.0,0.0,0,0,1305.36,1404.3087139666084,0.0,0.0,0.0,0.0,12,1000,20,0.3028339618804996
2025-02-28,price_drop_3pct,1,PRICE_DROP,0.03,0.0288332804280495,0.0286247357754632,0.0002085446525863,0.0071832641006102,0,0,1267.7221890604412,1327.410430090912,0.02796721498346,0.0296222176446867,0.0,0.0273942594662697,12,1000,20,0.3028339618804996
2025-02-28,price_drop_5pct,2,PRICE_DROP,0.05,0.0474860177712028,0.0474365357266398,4.948204456291065e-05,0.0010524863932751,3,3,1243.3736518421824,1307.407823996096,0.0459639073137806,0.0490030361028978,0.0,0.0,12,1000,20,0.3028339618804996
2025-02-28,price_drop_7pct,3,PRICE_DROP,0.07,0.0679622656551963,0.067885576007721,7.668964747531773e-05,0.0011374240180251,19,19,1216.6447769043327,1275.1416124325076,0.0670932938571224,0.0687617771777574,0.0,0.0046413204318111,12,1000,20,0.3028339618804996
2025-03-07,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0,0.0,0.0,0.0,0,0,1326.0499999999995,1481.2680256795402,0.0,0.0,0.0,0.0,12,1000,20,0.2954988320239906
2025-03-07,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0,0.0,0.0,0.0,0,0,1326.0499999999995,1474.376709443377,0.0,0.0,0.0,0.0,12,1000,20,0.2954988320239906
2025-03-07,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0,0.0,0.0,0.0,0,0,1326.0499999999995,1547.9479065175972,0.0,0.0,0.0,0.0,12,1000,20,0.2954988320239906
2025-03-07,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0,0.0,0.0,0.0,0,0,1326.0499999999995,1613.573395445416,0.0,0.0,0.0,0.0,12,1000,20,0.2954988320239906
