as_of_date,margin_leverage_level,margin_call_trigger_pressure,cascade_vulnerability,latent_proxy_agreement,latent_confidence_score,source_quality_score,validation_quality,validation_status,latent_components_json
2025-05-09,0.8250000000000001,0.3577744541304171,0.6147485043586878,0.3332772335676738,0.6302956700703022,0.665625,0.6681848428061439,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.5811675279259957, ""funding_pressure"": 0.4328296369123087, ""marginable_pressure"": 0.4930377931486895, ""speculative_dispersion"": 0.4155879168591818}, ""trigger_components"": {""atc_sell_pressure"": 0.39599878585474313, ""breadth_stress"": 0.6935656750659873, ""drawdown_pressure"": 0.024610174830681786, ""foreign_outflow"": 0.06357465912736487, ""liquidity_stress"": 0.24242424242424235, ""margin_wave"": 0.44198730970676076, ""sector_pressure"": 0.4085893068823348, ""volume_spike"": 0.454863529657009}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-05-16,0.8250000000000001,0.4254317150556528,0.6451942717750438,0.3105915309950946,0.6238962092985284,0.6659375000000001,0.71577188834914,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.44822441171563293, ""funding_pressure"": 0.2437386540478203, ""marginable_pressure"": 0.44464286134772596, ""speculative_dispersion"": 0.49523912597503855}, ""trigger_components"": {""atc_sell_pressure"": 0.5947998645830654, ""breadth_stress"": 0.6943080037749824, ""drawdown_pressure"": 0.11241623515077653, ""foreign_outflow"": 0.023490923547076603, ""liquidity_stress"": 0.2459799180318262, ""margin_wave"": 0.47220513162833844, ""sector_pressure"": 0.5621607282812748, ""volume_spike"": 0.592664114063046}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-05-23,0.8250000000000001,0.3413818859862715,0.6073718486938222,0.4073183538449271,0.6529142561534782,0.6659375000000001,0.7251241754537192,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.614422841843227, ""funding_pressure"": 0.3787189381041314, ""marginable_pressure"": 0.5484872835049627, ""speculative_dispersion"": 0.47000733646024556}, ""trigger_components"": {""atc_sell_pressure"": 0.3982710784396265, ""breadth_stress"": 0.593009769791541, ""drawdown_pressure"": 0.08115717470994904, ""foreign_outflow"": 0.2929105127607514, ""liquidity_stress"": 0.24242424242424235, ""margin_wave"": 0.4051540765368184, ""sector_pressure"": 0.2644250628449256, ""volume_spike"": 0.3185073374370774}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-05-30,0.8250000000000001,0.509487421894426,0.6830193398524917,0.2688797427140821,0.6113826728142246,0.6659375000000001,0.7456410749197077,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.6503752873866409, ""funding_pressure"": 0.028915996098761, ""marginable_pressure"": 0.645318184537932, ""speculative_dispersion"": 0.6231126172126465}, ""trigger_components"": {""atc_sell_pressure"": 0.498711443963726, ""breadth_stress"": 0.776505177697392, ""drawdown_pressure"": 0.08635337253236203, ""foreign_outflow"": 0.6106938150502835, ""liquidity_stress"": 0.2592205735572101, ""margin_wave"": 0.5834014536245014, ""sector_pressure"": 0.5937387294098762, ""volume_spike"": 0.6567001589729333}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-06-06,0.8250000000000001,0.5181921469915891,0.6869364661462152,0.2702699437787174,0.6117997331336152,0.6659375000000001,0.7457290948361041,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.7081221247053872, ""funding_pressure"": 0.014655859983853547, ""marginable_pressure"": 0.5878309888724107, ""speculative_dispersion"": 0.731082125405989}, ""trigger_components"": {""atc_sell_pressure"": 0.5437171728922249, ""breadth_stress"": 0.8058611845281961, ""drawdown_pressure"": 0.16106884394136156, ""foreign_outflow"": 0.493560206705098, ""liquidity_stress"": 0.27535822031460955, ""margin_wave"": 0.5662881142119918, ""sector_pressure"": 0.6784441573182711, ""volume_spike"": 0.6031103470621856}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-06-13,0.8250000000000001,0.5624413571002126,0.7068486106950957,0.3094853626668954,0.6235643588000687,0.6659375000000001,0.7298716829190602,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.684683025564396, ""funding_pressure"": 0.4103762079578023, ""marginable_pressure"": 0.4261489332569329, ""speculative_dispersion"": 0.7724938870734638}, ""trigger_components"": {""atc_sell_pressure"": 0.5912507233523914, ""breadth_stress"": 0.8095897064788267, ""drawdown_pressure"": 0.2946743366116167, ""foreign_outflow"": 0.18385108464952038, ""liquidity_stress"": 0.2844711868307617, ""margin_wave"": 0.6421125264070683, ""sector_pressure"": 0.6973392672541642, ""volume_spike"": 0.8996195057167606}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-06-20,0.8250000000000001,0.4312937528985517,0.6478321888043483,0.1634087817344083,0.5797413845203225,0.6659375000000001,0.738033286708344,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.932162996780265, ""funding_pressure"": 0.0036173246287892202, ""marginable_pressure"": 0.464115164437064, ""speculative_dispersion"": 0.37057482457753194}, ""trigger_components"": {""atc_sell_pressure"": 0.4637701605384728, ""breadth_stress"": 0.6943080037749824, ""drawdown_pressure"": 0.024869826336498813, ""foreign_outflow"": 0.2829440277100024, ""liquidity_stress"": 0.2518345543366296, ""margin_wave"": 0.4644700097688247, ""sector_pressure"": 0.660582618948747, ""volume_spike"": 0.6591308437017362}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-06-27,0.8250000000000001,0.3381105016742881,0.6058997257534298,0.143509976968659,0.5737717430905978,0.6659375000000001,0.7570583132667736,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.9, ""derivatives_pressure"": 0.9781634688049395, ""funding_pressure"": 0.9457628143251959, ""marginable_pressure"": 0.3624225220622068, ""speculative_dispersion"": 0.35202334029195176}, ""trigger_components"": {""atc_sell_pressure"": 0.40224774040887573, ""breadth_stress"": 0.5797263712518439, ""drawdown_pressure"": 0.0, ""foreign_outflow"": 0.2747233147017945, ""liquidity_stress"": 0.24242424242424235, ""margin_wave"": 0.3781095910284138, ""sector_pressure"": 0.2552262604215553, ""volume_spike"": 0.5120297075569173}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-07-04,0.7529106494723392,0.272580380202109,0.5367620283007357,0.1465202311198046,0.5746748193359414,0.6659375000000001,0.7762375295839439,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.8, ""derivatives_pressure"": 0.9686136658606836, ""funding_pressure"": 0.6986162187701559, ""marginable_pressure"": 0.6795539558167392, ""speculative_dispersion"": 0.3259834411014077}, ""trigger_components"": {""atc_sell_pressure"": 0.4017160328608018, ""breadth_stress"": 0.4363330902854811, ""drawdown_pressure"": 0.0, ""foreign_outflow"": 0.0070002940419178206, ""liquidity_stress"": 0.24242424242424235, ""margin_wave"": 0.30583020772387187, ""sector_pressure"": 0.16389061962642443, ""volume_spike"": 0.5416818699863746}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
2025-07-11,0.7500000000000001,0.4047136449647759,0.5946211402341492,0.0569902637444094,0.5478158291233228,0.6659375000000001,0.7955648458086733,validated,"{""leverage_components"": {""ctck_margin_anchor"": 0.8, ""derivatives_pressure"": 0.12024699688746976, ""funding_pressure"": 0.8653454055795113, ""marginable_pressure"": 0.1022514258172958, ""speculative_dispersion"": 0.5654616774816441}, ""trigger_components"": {""atc_sell_pressure"": 0.40384944768533804, ""breadth_stress"": 0.642398158702048, ""drawdown_pressure"": 0.0, ""foreign_outflow"": 0.0094932632961936, ""liquidity_stress"": 0.24551083641496282, ""margin_wave"": 0.5151804537078944, ""sector_pressure"": 0.34718844463170306, ""volume_spike"": 0.9808299663522454}, ""weights"": {""leverage"": {""ctck_margin_anchor"": 0.5, ""derivatives_pressure"": 0.1, ""funding_pressure"": 0.1, ""marginable_pressure"": 0.25, ""speculative_dispersion"": 0.05}, ""trigger"": {""atc_sell_pressure"": 0.15, ""breadth_stress"": 0.15, ""drawdown_pressure"": 0.15, ""foreign_outflow"": 0.1, ""liquidity_stress"": 0.1, ""margin_wave"": 0.25, ""sector_pressure"": 0.08, ""volume_spike"": 0.1}}}"
