as_of_date,pct_fundamental,pct_momentum,pct_foreign,pct_leveraged,avg_leverage_ratio,noise_std,pct_noise,calibration_method,input_quality_score,mli,liquidity_stress,valuation_gap,trend_z,breadth_z,foreign_flow_z,global_risk_z,global_risk_quality,margin_pressure_z,qp_downside_participation_z,qp_high_beta_sell_pressure_z,qp_sector_stress_z,margin_leverage_level,margin_call_trigger_pressure,cascade_vulnerability,latent_confidence_score,validation_quality,qp_panel_available,qp_panel_quality
2025-02-28,0.256334343545083,0.2202626671098486,0.0879176456118531,0.3354853437332152,2.0,0.2465368090531736,0.1,latent_margin_state_mapping_v3,0.5047232698008327,0.75,1.3650313496583455,0.0,1.186002367579407,-0.5861182519280206,-0.5767078586008143,0.6234483306877326,1.0,0.4190270722757304,0.2151538176606643,-0.1911927439007933,0.6339603265002486,0.9,0.5503695420229382,0.7426662939103222,0.612018079203331,0.07625,True,0.9725
2025-03-07,0.256720232163994,0.2275035098099577,0.0868863145108899,0.3288899435151582,2.0,0.2270217212738435,0.1,latent_margin_state_mapping_v3,0.4924980533733177,0.75,1.3510860636921769,0.0,1.6366567347926146,-0.3804627249357327,0.6722950078017802,0.4575991721987331,1.0,0.4292471479619004,-0.138174970179382,-0.2819803201138354,0.3550546071768738,0.9,0.475019909668163,0.7087589593506733,0.5568672134932711,0.0825,True,0.9725
2025-03-14,0.258804993971806,0.2394176624072551,0.0705359992812332,0.3312413443397055,2.0,0.2271265901046674,0.1,latent_margin_state_mapping_v3,0.5025746100166427,0.75,1.3563295052333724,0.0,1.5969243073372816,-0.5792630676949443,-0.0169191553028484,0.26916518368003,1.0,-0.4474747647944248,0.4005497774969844,0.043938881659575,0.3896212273454612,0.9,0.517759813170936,0.7279919159269213,0.5909234400665709,0.08875,True,0.9725
2025-03-21,0.2579343646068766,0.2079425661151017,0.1086336422283187,0.3254894270497029,2.0,0.2267307386616786,0.1,latent_margin_state_mapping_v3,0.4992564274070202,0.75,1.336536933083929,0.0,0.8016540861741277,-0.4970008568980292,-1.6896650599207783,0.0446483954352184,1.0,-0.4073213724599366,-0.3245330659094085,-0.2539748257860899,0.0640719950119129,0.9,0.4081582916299009,0.6786712312334555,0.5714007096280808,0.0949999999999999,True,0.9725
2025-03-28,0.2731235896612428,0.2051743082280465,0.0788744105585558,0.342827691552155,2.0,0.226945125525571,0.1,latent_margin_state_mapping_v3,0.505079789999975,0.75,1.347256276278551,0.0,0.3889029593777095,-0.6341045415595545,-0.15375345957041,0.5989792353026344,1.0,0.1316708028630074,0.5285853686760749,0.1096432599237883,0.1030296430262913,0.9,0.5247390695879492,0.7311325813145773,0.5884441599999004,0.10125,True,0.9725
2025-04-04,0.2229745975933275,0.2268608337293122,0.1432306363420695,0.3069339323352905,1.9,0.3250282148400439,0.1,latent_margin_state_mapping_v3,0.6710597745584854,0.75,2.2514107420021947,0.0,-1.9194488027462155,-0.7095115681233934,-3.994221210859125,2.319502032303243,1.0,-1.2002716011881824,2.4682873660819395,3.7911806061449225,4.0,0.8250000000000001,0.8642972950467568,0.8426837827710407,0.55985218437266,0.7937619138612819,True,0.9725
2025-04-11,0.2586665135101056,0.2280351716705932,0.0941772721748117,0.3191210426444893,1.9,0.3066124222130601,0.1,latent_margin_state_mapping_v3,0.6377823749127698,0.75,1.3991380715142894,0.0,-1.0283687533139514,0.6135389888603258,-0.8160520028700323,0.7308303005892078,1.0,-1.2188681244702764,-0.6654263335301371,-0.7308300897849338,-1.1201830122972225,0.8250000000000001,0.495523821002769,0.6767357194512461,0.52990625,0.690598249651079,True,0.9725
2025-04-18,0.2619354728358292,0.2133099628869277,0.0938178940812159,0.3309366701960272,1.9,0.2273512025794503,0.1,latent_margin_state_mapping_v3,0.6451243705496641,0.75,1.3333333333333333,0.0,-1.031085134447738,0.2982005141388176,-1.086149911847338,0.0292061643916379,1.0,0.5991780424126867,-0.6813337534440278,-0.5650648087244332,-0.7252845069836422,0.8250000000000001,0.5079381638327268,0.6823221737247271,0.5722768234579036,0.677595658740753,True,0.9725
2025-04-25,0.2776808034180333,0.2066623037247084,0.0994923499977713,0.3161645428594869,1.9,0.241341935253088,0.1,latent_margin_state_mapping_v3,0.6521371921666184,0.75,1.358520401150223,0.0,-0.922086888816906,-0.2051282051282051,1.344283532661778,-0.3070429157540112,1.0,-0.0004608962190579,-0.2150638763330771,-0.1217735760867729,0.5037413563377958,0.8250000000000001,0.4885101806757894,0.6735795813041053,0.5838064824069603,0.6934922862595128,True,0.975
2025-04-29,0.2833074873618081,0.206930686487973,0.0901898466649148,0.3195719794853041,1.9,0.2266781862242184,0.1,latent_margin_state_mapping_v3,0.6501767559869945,0.75,1.333909311210924,0.0,-0.7936234775249503,-0.3350427350427351,0.8854901330297749,-0.4313446562098151,1.0,0.3531575061853587,-0.2638675147797142,-0.2468332630470654,0.0115195575518117,0.8250000000000001,0.460974102420097,0.6611883460890438,0.6014548301272655,0.6680021938207126,True,0.975
