generated_at,window,channel,score,item_count
2026-06-14T10:49:15+07:00,latest_7d,commodity,-0.0309,168
2026-06-14T10:49:15+07:00,latest_7d,credit_stress,0.1265,7
2026-06-14T10:49:15+07:00,latest_7d,earnings,0.1067,452
2026-06-14T10:49:15+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T10:49:15+07:00,latest_7d,fx_external,0.0317,64
2026-06-14T10:49:15+07:00,latest_7d,growth,0.0203,503
2026-06-14T10:49:15+07:00,latest_7d,inflation,0.0,0
2026-06-14T10:49:15+07:00,latest_7d,liquidity,-0.001,176
2026-06-14T10:49:15+07:00,latest_7d,monetary_policy,0.3014,10
2026-06-14T10:49:15+07:00,latest_7d,real_estate_collateral,0.016,51
2026-06-14T10:49:15+07:00,latest_7d,risk_appetite,0.0061,137
2026-06-14T10:49:15+07:00,latest_7d,unknown,-0.0019,21
2026-06-14T10:54:33+07:00,latest_1d,banking_system,0.0,0
2026-06-14T10:54:33+07:00,latest_1d,commodity,0.0,0
2026-06-14T10:54:33+07:00,latest_1d,credit_stress,0.2375,1
2026-06-14T10:54:33+07:00,latest_1d,earnings,0.145,224
2026-06-14T10:54:33+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T10:54:33+07:00,latest_1d,fx_external,0.0014,8
2026-06-14T10:54:33+07:00,latest_1d,growth,0.0723,48
2026-06-14T10:54:33+07:00,latest_1d,inflation,0.0,0
2026-06-14T10:54:33+07:00,latest_1d,liquidity,0.0326,16
2026-06-14T10:54:33+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T10:54:33+07:00,latest_1d,real_estate_collateral,0.1387,4
2026-06-14T10:54:33+07:00,latest_1d,risk_appetite,0.0187,8
2026-06-14T10:54:33+07:00,latest_1d,unknown,0.0,5
2026-06-14T10:54:33+07:00,latest_30d,banking_system,-0.0159,16
2026-06-14T10:54:33+07:00,latest_30d,commodity,-0.0095,771
2026-06-14T10:54:33+07:00,latest_30d,credit_stress,0.0703,28
2026-06-14T10:54:33+07:00,latest_30d,earnings,0.0843,1386
