report_date,sector,maturity_bucket,yield_avg_pct,yield_median_pct,issuance_count,source,scrape_run_id,scraped_at
2026-01-10,non_bank_corp,<=3Y,8.64,8.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/January2026/29122025-10012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-10,non_bank_corp,>5Y,9.0,9.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/January2026/29122025-10012026  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
2026-01-10,real_estate,3Y_5Y,8.260784313725491,7.9,2,vbma_weekly:https://vbma.org.vn/storage/reports/January2026/29122025-10012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-10,real_estate,<=3Y,12.5,12.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/January2026/29122025-10012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-10,real_estate,>5Y,9.0,9.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/January2026/29122025-10012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-16,non_bank_corp,<=3Y,10.0,10.0,2,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/12012026-16012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-16,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/12012026-16012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-23,non_bank_corp,<=3Y,10.0,10.0,2,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/19012026-23012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-23,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/19012026-23012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-30,non_bank_corp,<=3Y,10.0,10.0,2,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/26012026-30012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-01-30,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/26012026-30012026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-02-01,real_estate,<=3Y,11.5,11.5,1,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:33Z
2026-02-06,non_bank_corp,<=3Y,10.0,10.0,2,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/02022026-06022026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-02-06,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/02022026-06022026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-02-13,non_bank_corp,<=3Y,9.48148148148148,10.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/09022026-13022026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-02-13,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/February2026/09022026-13022026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-02-27,non_bank_corp,<=3Y,9.48148148148148,10.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/23022026-27022026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-02-27,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/23022026-27022026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-01,non_bank_corp,<=3Y,7.4,7.4,1,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:27Z
2026-03-01,non_bank_corp,>5Y,8.5,8.5,1,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:27Z
2026-03-06,non_bank_corp,<=3Y,9.48148148148148,10.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/02032026-06032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-06,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/02032026-06032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-13,non_bank_corp,<=3Y,9.48148148148148,10.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/09032026-13032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-13,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/09032026-13032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-20,non_bank_corp,<=3Y,9.48148148148148,10.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/16032026-20032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-20,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/16032026-20032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-27,bank,>5Y,11.5,11.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/23032026-27032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-27,non_bank_corp,<=3Y,9.48148148148148,10.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/23032026-27032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-27,non_bank_corp,>5Y,4.0,4.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/23032026-27032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-03-27,real_estate,3Y_5Y,13.5,13.5,1,vbma_weekly:https://vbma.org.vn/storage/reports/March2026/23032026-27032026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-01,bank,<=3Y,8.576923076923077,8.5,7,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:20Z
2026-04-01,bank,>5Y,8.0,8.0,2,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:20Z
2026-04-01,non_bank_corp,<=3Y,8.166666666666666,8.5,2,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:20Z
2026-04-01,real_estate,3Y_5Y,9.93877551020408,10.25,2,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:20Z
2026-04-01,real_estate,<=3Y,11.011173184357542,10.5,3,vbma:pdf_table,vbma-20260523T120913Z-a82799,2026-05-23T12:09:20Z
2026-04-10,bank,<=3Y,8.0,8.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/06042026-10042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
