ticker,company_name,sector,segment,sub_sector_id,market_cap,shares_outstanding,exchange,source_url,source_timestamp
LPB,Fortune Vietnam Joint Stock Commercial Bank,Banks,Banks,banks-151,154741212780000.0,2987282100.0,HOSE,https://research.mozyfin.com/company/LPB?tab=statement,2026-06-02T04:21:38.431Z
MBB,Military Commercial Joint Stock Bank,Banks,Banks,banks-151,202180497715900.0,8054999909.0,HOSE,https://research.mozyfin.com/company/MBB?tab=statement,2026-06-02T04:01:02.949Z
MSB,Vietnam Maritime Commercial Joint Stock Bank,Banks,Banks,banks-151,44460000000000.0,3120000000.0,HOSE,https://research.mozyfin.com/company/MSB?tab=statement,2026-06-02T04:31:23.801Z
MSN,Masan Group Corporation,Food & Beverage,Non-financial,food-products-87,113580746946900.0,1520491927.0,HOSE,https://research.mozyfin.com/company/MSN?tab=statement,2026-06-02T04:01:35.575Z
MWG,Mobile World Investment Corporation,Retail,Non-financial,specialty-retailers-74,116152301143900.0,1468423529.0,HOSE,https://research.mozyfin.com/company/MWG?tab=statement,2026-06-02T04:02:08.143Z
NAB,Nam A Commercial Joint Stock Bank,Banks,Banks,banks-151,24602926269900.0,2058822282.0,HOSE,https://research.mozyfin.com/company/NAB?tab=statement,2026-06-02T04:33:33.988Z
NKG,Nam Kim Steel Joint Stock Company,Basic Resources,Non-financial,steel-58,6109342525650.0,447570881.0,HOSE,https://research.mozyfin.com/company/NKG?tab=statement,2026-06-02T04:02:40.600Z
NLG,Nam Long Investment Corporation,Real Estate,Real Estate,real-estate-holding-development-160,12976354995250.0,485097383.0,HOSE,https://research.mozyfin.com/company/NLG?tab=statement,2026-06-02T04:03:13.062Z
NT2,PetroVietnam Power Nhon Trach 2 Joint Stock Company,Utilities,Non-financial,conventional-electricity-110,6606754865550.0,287876029.0,HOSE,https://research.mozyfin.com/company/NT2?tab=statement,2026-06-02T04:03:45.573Z
OCB,Orient Commercial Joint Stock Bank,Banks,Banks,banks-151,30625101266000.0,2663052284.0,HOSE,https://research.mozyfin.com/company/OCB?tab=statement,2026-06-02T04:30:51.332Z
PAN,The PAN Group Joint Stock Company,Food & Beverage,Non-financial,food-products-87,6093237150000.0,250750500.0,HOSE,https://research.mozyfin.com/company/PAN?tab=statement,2026-06-02T04:04:18.059Z
PC1,PC1 Group Joint Stock Company,Construction & Materials,Non-financial,heavy-construction-9,7814421517000.0,411285343.0,HOSE,https://research.mozyfin.com/company/PC1?tab=statement,2026-06-02T04:15:41.503Z
PDR,Phat Dat Real Estate Development Corporation,Real Estate,Real Estate,real-estate-holding-development-160,16064731001900.0,997809379.0,HOSE,https://research.mozyfin.com/company/PDR?tab=statement,2026-06-02T04:04:50.565Z
PHR,Phuoc Hoa Rubber Joint Stock Company,Chemicals,Non-financial,commodity-chemicals-11,9186845624400.0,135499198.0,HOSE,https://research.mozyfin.com/company/PHR?tab=statement,2026-06-02T04:05:23.062Z
PLX,Vietnam National Petroleum Group,Oil & Gas,Non-financial,exploration-production-153,50506041341250.0,1270592235.0,HOSE,https://research.mozyfin.com/company/PLX?tab=statement,2026-06-02T04:18:23.726Z
PNJ,Phu Nhuan Jewelry Joint Stock Company,Personal & Household Goods,Non-financial,personal-products-81,33671304902200.0,511721959.0,HOSE,https://research.mozyfin.com/company/PNJ?tab=statement,2026-06-02T04:05:55.617Z
POW,PetroVietnam Power Corporation,Utilities,Non-financial,conventional-electricity-110,42336270494400.0,3067845688.0,HOSE,https://research.mozyfin.com/company/POW?tab=statement,2026-06-02T04:25:58.355Z
PPC,Pha Lai Thermal Power Joint Stock Company,Utilities,Non-financial,conventional-electricity-110,3135595668120.0,320613054.0,HOSE,https://research.mozyfin.com/company/PPC?tab=statement,2026-06-02T04:06:28.531Z
PTB,Phu Tai Joint Stock Company,Basic Resources,Non-financial,forestry-49,3961059069300.0,100407074.0,HOSE,https://research.mozyfin.com/company/PTB?tab=statement,2026-06-02T04:07:01.008Z
PVD,PetroVietNam Driling & Well Service Corporation,Oil & Gas,Non-financial,oil-equipment-services-148,16676400180000.0,555880006.0,HOSE,https://research.mozyfin.com/company/PVD?tab=statement,2026-06-02T04:07:33.883Z
PVT,PetroVietNam Transportation Corporation,Industrial Goods & Services,Non-financial,marine-transportation-44,10385480293500.0,469931235.0,HOSE,https://research.mozyfin.com/company/PVT?tab=statement,2026-06-02T04:08:06.259Z
