source_file,source_format,ticker_detected,parse_status,missing_fields,warnings,error_message,parsed_at
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/DGW_financial_report.xlsx,xlsx,DGW,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/DIG_financial_report.json,json,DIG,ok,,,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/DIG_financial_report.xlsx,xlsx,DIG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/DPM_financial_report.json,json,DPM,ok,,,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/DPM_financial_report.xlsx,xlsx,DPM,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/DSE_financial_report.json,json,DSE,ok,,,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/DSE_financial_report.xlsx,xlsx,DSE,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/DXG_financial_report.json,json,DXG,ok,,,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/DXG_financial_report.xlsx,xlsx,DXG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:15
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/DXS_financial_report.json,json,DXS,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/DXS_financial_report.xlsx,xlsx,DXS,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/EIB_financial_report.json,json,EIB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/EIB_financial_report.xlsx,xlsx,EIB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/EVF_financial_report.json,json,EVF,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/EVF_financial_report.xlsx,xlsx,EVF,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/FPT_financial_report.json,json,FPT,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/FPT_financial_report.xlsx,xlsx,FPT,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/FRT_financial_report.json,json,FRT,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/FRT_financial_report.xlsx,xlsx,FRT,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/FTS_financial_report.json,json,FTS,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/FTS_financial_report.xlsx,xlsx,FTS,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/GAS_financial_report.json,json,GAS,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/GAS_financial_report.xlsx,xlsx,GAS,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/GEE_financial_report.json,json,GEE,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/GEE_financial_report.xlsx,xlsx,GEE,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/GEX_financial_report.json,json,GEX,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/GEX_financial_report.xlsx,xlsx,GEX,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/GMD_financial_report.json,json,GMD,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/GMD_financial_report.xlsx,xlsx,GMD,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/GVR_financial_report.json,json,GVR,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/GVR_financial_report.xlsx,xlsx,GVR,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HAG_financial_report.json,json,HAG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HAG_financial_report.xlsx,xlsx,HAG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HCM_financial_report.json,json,HCM,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HCM_financial_report.xlsx,xlsx,HCM,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HDB_financial_report.json,json,HDB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HDB_financial_report.xlsx,xlsx,HDB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HDC_financial_report.json,json,HDC,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HDC_financial_report.xlsx,xlsx,HDC,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HDG_financial_report.json,json,HDG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HDG_financial_report.xlsx,xlsx,HDG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/HHV_financial_report.json,json,HHV,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/HHV_financial_report.xlsx,xlsx,HHV,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
